Product,Product URL,Category,Vendor,Vendor URL,Price in AUD,Shipping From,Shipping To,Date Time Recorded
Crystal Meth 28 gr,welcome?action=show&listing=115987,Stimulants - Meth,lagerbeer,userinfo?user=lagerbeer,655.48,United States,Worldwide,Thu Sep 17 14:55:45 2020
28g 96% Tested Cocaine,welcome?action=show&listing=123036,Stimulants - Cocaine,icydicy,userinfo?user=icydicy,2483.93,United States,United States,Thu Sep 17 14:55:45 2020
Clenbuterol Injection - 80 mcg /ml/10 ml - Body Pharm - expires 2022,welcome?action=show&listing=73744,Steroids,steroidwarehouse,userinfo?user=steroidwarehouse,72.95,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
Tapentadol 100mg x 1000 Pills Same Effect As Oxy 20mg BEST PRICE ONLY $440 Click Here 5% Free,welcome?action=show&listing=96157,Prescription Drugs,remedyplus,userinfo?user=remedyplus,607.18,Singapore,United States,Thu Sep 17 14:55:45 2020
1oz Harlequin CBD Light Dep,welcome?action=show&listing=103196,Cannabis - Buds and Flowers,strainpirate,userinfo?user=strainpirate,117.29,United States,United States,Thu Sep 17 14:55:45 2020
TRAMADOL tamol XX red 200mg * 200 pills (only company name),welcome?action=show&listing=108494,Opioids - Pills,mastermeds,userinfo?user=mastermeds,135.23,Singapore,Worldwide,Thu Sep 17 14:55:45 2020
100$ tamaramellon.com Gift Card - Save lot of money,welcome?action=show&listing=101008,Other Fraud Related,kingaccount,userinfo?user=kingaccount,27.59,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
- The Ultimate Drugs Encyclopedia -,welcome?action=show&listing=121830,Other Services,jamesocean,userinfo?user=jamesocean,17.78,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
HentaiKey.com - LIFETIME PORN PREMIUM ACCOUNT,welcome?action=show&listing=62045,Other Services,mychoice,userinfo?user=mychoice,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Mobile Numbers Pack (15 countries),welcome?action=show&listing=54589,Dumps,goldapple,userinfo?user=goldapple,137.99,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"Dueling Network Leaked/Hacked Dtabase (6,486Million records)",welcome?action=show&listing=96766,Other Fraud Related,empireshop,userinfo?user=empireshop,27.59,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
HQ CUSTOMIZED SSN SCANS PHOTOS,welcome?action=show&listing=61985,Fake Documents (Digital),kingscan,userinfo?user=kingscan,89.69,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"0,16 Million Worldwide Apple Mac Emails",welcome?action=show&listing=54521,Dumps,goldapple,userinfo?user=goldapple,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
FRESH NYSE DataBase - Stock Brokers 18716 Records - CSV,welcome?action=show&listing=108577,Dumps,topvendor,userinfo?user=topvendor,95.64,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Gucci shoes F93 - 1:1 Perfect Replica,welcome?action=show&listing=118275,Other Forgeries,smartstore,userinfo?user=smartstore,162.11,Hong Kong,Worldwide,Thu Sep 17 14:55:45 2020
US DL + utility bill driver license scan,welcome?action=show&listing=81779,Fake Documents (Digital),cardpass,userinfo?user=cardpass,19.45,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
125g Pure S-Isomer Ketamine,welcome?action=show&listing=111513,Dissociatives - Ketamine,bagsandboxes,userinfo?user=bagsandboxes,2400.41,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
5 Grams of Maeng Da Kratom (White OR Red Vein) (Sample Listing),welcome?action=show&listing=107158,Opioids - Other,honesttrader,userinfo?user=honesttrader,7.11,United Kingdom,European Union,Thu Sep 17 14:55:45 2020
Nembrini Audio Bundle 2020,welcome?action=show&listing=126390,Other Software,whitechapel,userinfo?user=whitechapel,16.55,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
10g Super Hash / Al Hoceima Rif Morocco,welcome?action=show&listing=117406,Cannabis - Hash,tordrug,userinfo?user=tordrug,142.66,France,France,Thu Sep 17 14:55:45 2020
JobStreet Database 16 Million Records,welcome?action=show&listing=54247,Dumps,goldapple,userinfo?user=goldapple,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
5g Sunset Sherbet High quality Coffeeshop2Uk Import (Duplicate),welcome?action=show&listing=87695,Cannabis - Buds and Flowers,britishpablo,userinfo?user=britishpablo,80.01,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Porn HD Collection - LIFETIME PORN PREMIUM ACCOUNTS,welcome?action=show&listing=64393,Other Services,mychoice,userinfo?user=mychoice,27.59,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Blueberry O.G (CALI weed) 3.5G,welcome?action=show&listing=126020,Cannabis - Buds and Flowers,howardmarks,userinfo?user=howardmarks,62.23,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Analized PREMIUM Porn Account LIFETIME Warranty + Extra BONUS,welcome?action=show&listing=88361,Various Logins,kingaccount,userinfo?user=kingaccount,8.27,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
nympho.com Porn Premium Account,welcome?action=show&listing=80161,Various Logins,pornseller,userinfo?user=pornseller,9.65,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
HEROIN 100% PURE NO BS! / IRAN AAA+/ 1 GRAM,welcome?action=show&listing=127502,Opioids - Heroin,coffeshop,userinfo?user=coffeshop,72.95,Germany,Worldwide,Thu Sep 17 14:55:45 2020
4x 2MG XANAX BARS,welcome?action=show&listing=80624,Benzos - Pills,happyshopper,userinfo?user=happyshopper,10.66,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
Sikandar Crypter,welcome?action=show&listing=56432,Other Software,drunkdragon,userinfo?user=drunkdragon,1.37,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
SALE*** DIAMOND GRADE COCAINE 1 GRAM,welcome?action=show&listing=127240,Stimulants - Cocaine,austek,userinfo?user=austek,N/A,Australia,Australia,Thu Sep 17 14:55:45 2020
2Gram Pure AAA+ Cocaine 90%+ FREE WORLD WIDE SHIPPING!!!,welcome?action=show&listing=128674,Stimulants - Cocaine,dopenl,userinfo?user=dopenl,194.53,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
+++Cenforce 150 x 30 pills- be like a PORNSTAR-VIAGRA 150 mg strong+++,welcome?action=show&listing=91037,Prescription Drugs,kamagra4bitcoin,userinfo?user=kamagra4bitcoin,53.49,European Union,Worldwide,Thu Sep 17 14:55:45 2020
Cannabinoid PAPER A4 Sheets **PRISON SPECIALITY** TOP QUALITY,welcome?action=show&listing=113788,Cannabis - Synthetic,researchchemguy,userinfo?user=researchchemguy,48.63,European Union,Worldwide,Thu Sep 17 14:55:45 2020
100 XTC Red and Blue Owls 140mg,welcome?action=show&listing=69591,Ecstasy - Pills,partykingz,userinfo?user=partykingz,144.28,Germany,European Union,Thu Sep 17 14:55:45 2020
FakeMoney 20 x 50 USD,welcome?action=show&listing=84209,Currency,xxxxtentacion,userinfo?user=xxxxtentacion,162.11,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
"30 mL CBN (Cannabinol) 98%+ Solution (5 mg per mL) -- used for pain, anxiety, insomnia, appetite stimulation.",welcome?action=show&listing=111693,Cannabis - Concentrates,dxmusa,userinfo?user=dxmusa,62.09,United States,United States,Thu Sep 17 14:55:45 2020
Temazepam 30mg (NOVEL 123) x 25,welcome?action=show&listing=70251,Benzos - Pills,brucelean,userinfo?user=brucelean,310.49,United States,United States,Thu Sep 17 14:55:45 2020
LV wallet M69514,welcome?action=show&listing=125040,Other Forgeries,boyfootstep,userinfo?user=boyfootstep,124.19,Hong Kong,Worldwide,Thu Sep 17 14:55:45 2020
Organic Cannabis Capsules - 100mg THC ea x 10 caps (SAMPLE),welcome?action=show&listing=91339,Cannabis - Edibles,healingherbs,userinfo?user=healingherbs,55.19,United States,United States,Thu Sep 17 14:55:45 2020
10000x XTC - GREY GIVENCHY - 300MG MDMA - 100% ARRIVAL EUROPE,welcome?action=show&listing=75701,Ecstasy - Pills,euroshopper,userinfo?user=euroshopper,9726.93,Germany,Worldwide,Thu Sep 17 14:55:45 2020
Steam Premium Account CHEAPEST on Market WARRANTY + EXTRAS,welcome?action=show&listing=86620,Various Logins,accountisland,userinfo?user=accountisland,6.89,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
DELAWARE Driving Licence PSD Template HQ,welcome?action=show&listing=78464,Fake Documents (Digital),chernobyl,userinfo?user=chernobyl,27.59,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
PROMO PRESSED 50 x Adderall 30mg - $8.90 /PILL,welcome?action=show&listing=87195,Stimulants - Adderall,probitexchange,userinfo?user=probitexchange,614.08,United States,United States,Thu Sep 17 14:55:45 2020
Roku Premium Account CHEAPEST on Market WARRANTY + EXTRAS,welcome?action=show&listing=86264,Various Logins,accountisland,userinfo?user=accountisland,6.89,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Equipoise ( EQ ) 300mg/ml Pharma USA to USA,welcome?action=show&listing=116377,Steroids,thatsteroidguy,userinfo?user=thatsteroidguy,48.29,United States,United States,Thu Sep 17 14:55:45 2020
500x Green NASA XTC Pills - Made in Holland - 250MG - BEST PRICE ON WHM,welcome?action=show&listing=102860,Ecstasy - Pills,chapowlini,userinfo?user=chapowlini,810.57,Netherlands,European Union,Thu Sep 17 14:55:45 2020
MDMA CHAMPAGNE CRYSTAL **BEST HIGH ** 5 GRAM *,welcome?action=show&listing=127428,Ecstasy - MDMA,rs6quattro,userinfo?user=rs6quattro,56.74,Germany,Worldwide,Thu Sep 17 14:55:45 2020
HGH ZPtropin 120 IU - ZPHC,welcome?action=show&listing=96598,Steroids,steroids,userinfo?user=steroids,445.81,European Union,Worldwide,Thu Sep 17 14:55:45 2020
HBONOW.COM - LIFETIME HBONOW PREMIUM ACCOUNT,welcome?action=show&listing=106641,Other Software,mychoice,userinfo?user=mychoice,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
- 10g to 56g - GLOBAL COKE UK 90% TOP SHELF COLOMBIAN BRICK COCAINE **,welcome?action=show&listing=77616,Stimulants - Cocaine,globalcokeuk,userinfo?user=globalcokeuk,1.77,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
PENICILLIN 250MG TABS X 28,welcome?action=show&listing=116050,Prescription Drugs,ukmedicineman,userinfo?user=ukmedicineman,35.56,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
BonkMyGF.com - LIFETIME PORN PREMIUM ACCOUNT,welcome?action=show&listing=53405,Various Logins,mychoice,userinfo?user=mychoice,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Winstrol 10mg/100tab - Liniment Pharmaceuticals,welcome?action=show&listing=113385,Steroids,threekings,userinfo?user=threekings,30.8,European Union,Worldwide,Thu Sep 17 14:55:45 2020
Kaixin001 Database 8 Million Records (Plaintext),welcome?action=show&listing=56307,Dumps,drunkdragon,userinfo?user=drunkdragon,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
1x JACK HERER FEMINIZED SEED - EU/WW SHIPPING -,welcome?action=show&listing=120104,Cannabis - Seeds,megachill,userinfo?user=megachill,11.34,European Union,Worldwide,Thu Sep 17 14:55:45 2020
25gr. 5F AE 2201,welcome?action=show&listing=92620,Cannabis - Synthetic,cindicator,userinfo?user=cindicator,262.19,China,Worldwide,Thu Sep 17 14:55:45 2020
5 GRAM 5-MeO-DMT *NATURAL*(Bufo Alvarius) Full spectrum FREE SHIPPING,welcome?action=show&listing=109991,Psychedelics - DMT,thetruthiswaitin,userinfo?user=thetruthiswaitin,1072.23,United States,Worldwide,Thu Sep 17 14:55:45 2020
CUSTOM LIST GBL To. b...y,welcome?action=show&listing=120709,Dissociatives - GHB,missghbuytric,userinfo?user=missghbuytric,551.98,United States,United States,Thu Sep 17 14:55:45 2020
100g Pure Indian Sugar Ketamine S-ISOMER,welcome?action=show&listing=69294,Dissociatives - Ketamine,partykingz,userinfo?user=partykingz,2512.79,Germany,European Union,Thu Sep 17 14:55:45 2020
business blank checks scan templates USA,welcome?action=show&listing=80901,Bank Logins,cashboy,userinfo?user=cashboy,538.18,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Generic Viagra 100mg 10x Count Blister Pack,welcome?action=show&listing=118214,Prescription Drugs,travel4less,userinfo?user=travel4less,56.57,United States,United States,Thu Sep 17 14:55:45 2020
30x 200mg Mixed XTC Pills MDMA - FREE Shipping from Germany,welcome?action=show&listing=121790,Ecstasy - Pills,thcliquid24,userinfo?user=thcliquid24,81.05,Germany,Worldwide,Thu Sep 17 14:55:45 2020
Abandonia Database,welcome?action=show&listing=67582,Dumps,topvendor,userinfo?user=topvendor,144.28,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
14g Super Silver Haze - UK,welcome?action=show&listing=113916,Cannabis - Buds and Flowers,ukdrugsman,userinfo?user=ukdrugsman,199.14,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Origin Sentry MBA Config / Snapshot,welcome?action=show&listing=56778,Other Software,drunkdragon,userinfo?user=drunkdragon,1.37,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
1000x LSD SUNSHINE 200ug /// Clean Trips /// LSD-25 Blotters,welcome?action=show&listing=113675,Psychedelics - LSD,nargetix,userinfo?user=nargetix,2593.84,Germany,European Union,Thu Sep 17 14:55:45 2020
1000G PURE PLATINUM MDMA 92% UK,welcome?action=show&listing=71393,Ecstasy - MDMA,dcukconnection,userinfo?user=dcukconnection,4271.24,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
fluoxetine 20 mg x 30 caps,welcome?action=show&listing=115922,Prescription Drugs,premierpharma,userinfo?user=premierpharma,46.27,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
MDMA CHAMPAGNE CRYSTALS * 1000 GRAM *,welcome?action=show&listing=127454,Ecstasy - MDMA,rs6quattro,userinfo?user=rs6quattro,5023.44,Germany,Worldwide,Thu Sep 17 14:55:45 2020
KETAMINE HCI S-ISOMER SUGAR 5 GRAM,welcome?action=show&listing=76715,Dissociatives - Ketamine,amsterdamliquidx,userinfo?user=amsterdamliquidx,186.41,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
Pharma Med Testosterone Propionate Steroids 5 box of 10,welcome?action=show&listing=74208,Steroids,drrelax,userinfo?user=drrelax,87.2,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
14g (1/2oz) Magic mushrooms Psilocybe cubensis Amazonian shrooms,welcome?action=show&listing=74343,Psychedelics - Shrooms,fungee,userinfo?user=fungee,119.95,European Union,European Union,Thu Sep 17 14:55:45 2020
200 Grams of Stems + Veins Kratom (aka Tulang/Bone Leaf) (Mixed Vein Only),welcome?action=show&listing=122398,Opioids - Other,honesttrader,userinfo?user=honesttrader,71.18,United Kingdom,European Union,Thu Sep 17 14:55:45 2020
14G COCAINE A1 BATCH FREE SHIPPING (Duplicate),welcome?action=show&listing=111385,Stimulants - Cocaine,dashop,userinfo?user=dashop,2000.14,United States,United States,Thu Sep 17 14:55:45 2020
*****3.5grams pearl cocaine*****,welcome?action=show&listing=104818,Stimulants - Cocaine,sierrafoxtrot,userinfo?user=sierrafoxtrot,N/A,Australia,Australia,Thu Sep 17 14:55:45 2020
SUPER LEMON HAZE HASH *TOP QUALITY* - 10 GRAM *SUPER SALE*,welcome?action=show&listing=60298,Cannabis - Hash,thecannahouse,userinfo?user=thecannahouse,137.78,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
(DE) 1G - AAA+ SUPER SILVER HAZE - Coffeeshop Qualitaet - Promotion Angebot,welcome?action=show&listing=121165,Cannabis - Buds and Flowers,lilawolken,userinfo?user=lilawolken,16.2,Germany,Germany,Thu Sep 17 14:55:45 2020
BLUE PUNISHER XTC 300MG MDMA 1000x,welcome?action=show&listing=76736,Ecstasy - Pills,amsterdamliquidx,userinfo?user=amsterdamliquidx,2269.38,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
Rainbow Jones 14 Gs US dispensary Grade Fast FREE UK delivery,welcome?action=show&listing=69241,Cannabis - Buds and Flowers,mclovin87,userinfo?user=mclovin87,355.93,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
**SPECIAL 2$** USA FULL WITH REQUEST AGE/SEX/STATE **SPECIAL 2$**,welcome?action=show&listing=59078,SSN / DOB / Other PII,picsou,userinfo?user=picsou,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"7g of Rural MOs Finest Crystal Meth (d-methamphetamine hcl) - 91% Pure, HPLC verified!",welcome?action=show&listing=105402,Stimulants - Meth,reasoninrevolt,userinfo?user=reasoninrevolt,412.6,United States,United States,Thu Sep 17 14:55:45 2020
BTCP. Crystal 50 gram,welcome?action=show&listing=114238,Stimulants - Other,mastermeds,userinfo?user=mastermeds,992.19,China,Worldwide,Thu Sep 17 14:55:45 2020
Steamgamers.com Database 6K Records (Plaintext),welcome?action=show&listing=57497,Dumps,drunkdragon,userinfo?user=drunkdragon,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Enercare Utility Statement PSD Template,welcome?action=show&listing=54546,Fake Documents (Digital),goldapple,userinfo?user=goldapple,6.89,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
FantasyLabs PRO Premium Account CHEAPEST on Market WARRANTY + EXTRAS,welcome?action=show&listing=85467,Various Logins,accountisland,userinfo?user=accountisland,28.97,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
5 x Mushroom Chocolate Bar,welcome?action=show&listing=118934,Psychedelics - Shrooms,kindpeople,userinfo?user=kindpeople,310.49,United States,United States,Thu Sep 17 14:55:45 2020
25 x Tutankhamun disco biscuits/pills. Free uk delivery.,welcome?action=show&listing=75441,Ecstasy - Pills,mclovin87,userinfo?user=mclovin87,124.46,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
PERFECT SCANNABLE ILLINIOS ID (ALL SECURITY FEATURES),welcome?action=show&listing=112672,Fake Documents (Physical),qualityfakeids,userinfo?user=qualityfakeids,220.79,Hong Kong,Worldwide,Thu Sep 17 14:55:45 2020
Premium meth .75g listing,welcome?action=show&listing=125158,Stimulants - Meth,ozbabe,userinfo?user=ozbabe,N/A,Australia,Australia,Thu Sep 17 14:55:45 2020
25g de Weed Hollandaise TRES HAUTE QUALITE AAA+,welcome?action=show&listing=76612,Cannabis - Buds and Flowers,duckthug,userinfo?user=duckthug,423.12,France,France,Thu Sep 17 14:55:45 2020
1x Flualprazolam dipped A4 Paper/Sheet Perfect for Prisons/Facilities! USA SHIPPING (Duplicate) (Duplicate) (Duplicate),welcome?action=show&listing=127152,Benzos - RC,striphouseusa,userinfo?user=striphouseusa,206.99,United States,United States,Thu Sep 17 14:55:45 2020
1g MDMA Pure Purple Moon Rock - PUREST IN CANADA,welcome?action=show&listing=121064,Ecstasy - MDMA,alwaysoverweight,userinfo?user=alwaysoverweight,N/A,Canada,Canada,Thu Sep 17 14:55:45 2020
10 X LSD 200ug Blotters FULL ESCROW,welcome?action=show&listing=69336,Psychedelics - LSD,xxmarlboroxx,userinfo?user=xxmarlboroxx,82.79,United States,United States,Thu Sep 17 14:55:45 2020
Speed PASTE (Amphetamine) 2gr (free shipment ww),welcome?action=show&listing=70704,Stimulants - Speed,thechemist,userinfo?user=thechemist,24.31,European Union,Worldwide,Thu Sep 17 14:55:45 2020
TEENMEGAWORLD.COM PORN ACCOUNT WARRANTY,welcome?action=show&listing=86281,Various Logins,accountisland,userinfo?user=accountisland,9.72,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
0.75 g - METH High quality Imported Straight from Asia with FREE SHIPPING,welcome?action=show&listing=119049,Stimulants - Meth,drozdrugstore,userinfo?user=drozdrugstore,N/A,Australia,Australia,Thu Sep 17 14:55:45 2020
Mortal Online Database 607000 Records,welcome?action=show&listing=54242,Dumps,goldapple,userinfo?user=goldapple,13.79,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
2g Cookies and Cream Coffeeshop2Uk High quality Import (Duplicate),welcome?action=show&listing=79791,Cannabis - Buds and Flowers,britishpablo,userinfo?user=britishpablo,35.56,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Etizolam Powder 50 grams - Best Etiz powder in the USA,welcome?action=show&listing=116482,Benzos - Powder,selaminy,userinfo?user=selaminy,3794.9,United States,United States,Thu Sep 17 14:55:45 2020
*** 1 g x 50 Solvent Free Carts ***,welcome?action=show&listing=115709,Cannabis - Concentrates,nancybotwin2019,userinfo?user=nancybotwin2019,1207.47,United States,United States,Thu Sep 17 14:55:45 2020
Major Geeks Leacked/Hacked Database (268K records),welcome?action=show&listing=94880,Other Fraud Related,empireshop,userinfo?user=empireshop,11.03,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
25 x XTC 230 MG DUTCH #MDMA# PHILIPP PLEIN!,welcome?action=show&listing=127486,Ecstasy - Pills,rs6quattro,userinfo?user=rs6quattro,77.81,Germany,Worldwide,Thu Sep 17 14:55:45 2020
COKE/COCAINE PURE COLUMBIAN COLO COCAINE 3.5G **FREE UK DELIVERY**,welcome?action=show&listing=70114,Stimulants - Cocaine,narcoticsdirect,userinfo?user=narcoticsdirect,462.3,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
MODAFINIL 10 PILLS MODALERT 200mg,welcome?action=show&listing=117993,Prescription Drugs - Stimulants,bigpills,userinfo?user=bigpills,21.07,European Union,Worldwide,Thu Sep 17 14:55:45 2020
1 gr 73% Amphetamine (Speed) Paste,welcome?action=show&listing=59095,Stimulants - Speed,alfa,userinfo?user=alfa,9.72,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
1G MDMA 99%+ $1 shipping limit one,welcome?action=show&listing=121826,Ecstasy - MDMA,pingertek,userinfo?user=pingertek,137.99,United States,United States,Thu Sep 17 14:55:45 2020
"(PROMOTION) 1,- // 10000x XTC: Green luck Clovers 270mg",welcome?action=show&listing=112972,Ecstasy - Pills,mythbusters,userinfo?user=mythbusters,10051.16,European Union,Worldwide,Thu Sep 17 14:55:45 2020
K2/SPICE/SYNTHETIC CANNIBINOID PAPER x 30 SHEETS (Single Dip),welcome?action=show&listing=123190,Cannabis - Synthetic,tcs13579,userinfo?user=tcs13579,1448.96,European Union,Worldwide,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - Malina V3 - 40+ Commands,welcome?action=show&listing=105575,Other Software,justporn,userinfo?user=justporn,1.37,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
PC Privacy Shield Premium - FULL CRACKED,welcome?action=show&listing=63414,Security Software,g3cko,userinfo?user=g3cko,2.75,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
BRAZZERS PREMIUM ACOUNT,welcome?action=show&listing=123978,Various Logins,proseller,userinfo?user=proseller,4.13,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
1g AFGHAN Heroin #4 (PURE UNCUT GRADE A+) ..USA - USA,welcome?action=show&listing=101426,Opioids - Heroin,ezinpharma,userinfo?user=ezinpharma,248.39,United States,United States,Thu Sep 17 14:55:45 2020
Master Kush Indoor Mid+ Grade 1/2LB(225g),welcome?action=show&listing=89283,Cannabis - Buds and Flowers,royalleaf,userinfo?user=royalleaf,1069.47,United States,United States,Thu Sep 17 14:55:45 2020
Vyprvpn Sentry MBA Config / Snapshot,welcome?action=show&listing=56746,Other Software,drunkdragon,userinfo?user=drunkdragon,1.37,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
3.5G ROCK ISOMER S+ KETAMINE EC 99%,welcome?action=show&listing=109752,Dissociatives - Ketamine,dcukconnection,userinfo?user=dcukconnection,131.57,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Pinkoclub.com Porn Account,welcome?action=show&listing=78598,Various Logins,pornseller,userinfo?user=pornseller,8.27,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"Best DarkNet Digital Package (25,000 items)",welcome?action=show&listing=90870,Other Fraud Related,bigone1,userinfo?user=bigone1,19.31,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
5 x Vials 10ml Trenbolon Acetat 150mg/1ml,welcome?action=show&listing=72936,Steroids,drugbox24,userinfo?user=drugbox24,158.87,Germany,Worldwide,Thu Sep 17 14:55:45 2020
7g AAAA White Widow Cali Import very HQ Dense (Duplicate),welcome?action=show&listing=119327,Cannabis - Buds and Flowers,raws4life,userinfo?user=raws4life,124.46,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
50x Tesla XTC pills - Made in Holland - 300MG - BEST PRICE ON WHM,welcome?action=show&listing=122504,Ecstasy - Pills,candyshopxl,userinfo?user=candyshopxl,64.83,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
10 pills - Xtc Baby Green ShyGuy - 200mg MDMA,welcome?action=show&listing=67266,Ecstasy - Pills,thestealthteam,userinfo?user=thestealthteam,24.31,European Union,Worldwide,Thu Sep 17 14:55:45 2020
french temporary residence card full editable .xcf format (gimp document),welcome?action=show&listing=66050,Fake Documents (Digital),ixef,userinfo?user=ixef,32.41,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"56g - 2oz -Stable, A+ Snap N Pull Wax - NON-CRC - Trainwreck or Gorilla Glue - Fast, Same Day Shipping!",welcome?action=show&listing=120213,Cannabis - Concentrates,pressurepacks,userinfo?user=pressurepacks,827.64,United States,United States,Thu Sep 17 14:55:45 2020
Grant Cardone - MILLIONS in BUSINESS - video academy,welcome?action=show&listing=124502,Social Engeneering,youngmoney,userinfo?user=youngmoney,4.13,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - Eleonora - 50 Commands,welcome?action=show&listing=103025,Other Software,justporn,userinfo?user=justporn,1.37,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
gangbangdee.com Porn Account Warranty,welcome?action=show&listing=72623,Various Logins,enjoymyaccounts,userinfo?user=enjoymyaccounts,8.27,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Sugar Wax - ask about strains!,welcome?action=show&listing=126512,Cannabis - Concentrates,boltmantreez,userinfo?user=boltmantreez,30.34,United States,United States,Thu Sep 17 14:55:45 2020
1-25 GRAMS + COLOMBIAN COCAINE + WORLDWIDE SHIPPINGS,welcome?action=show&listing=129372,Stimulants - Cocaine,stoneisland,userinfo?user=stoneisland,8.1,Germany,Worldwide,Thu Sep 17 14:55:45 2020
METH 0.5G - BUDGET - INC.,welcome?action=show&listing=128952,Stimulants - Meth,inc,userinfo?user=inc,N/A,Australia,Australia,Thu Sep 17 14:55:45 2020
"3 AMEX PLATINUM CC/CCV - $10,000-$30,000-Unlimited Balance - FRESH",welcome?action=show&listing=77989,Cards and CVV,wfowfo,userinfo?user=wfowfo,113.46,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
SUBUTEX ORIGINAL 8mg ( buprenorphine ) x 7 PILLS,welcome?action=show&listing=84346,Opioids - Buprenorphine,blackmanba1fe,userinfo?user=blackmanba1fe,117.24,European Union,Worldwide,Thu Sep 17 14:55:45 2020
Anastrozole - 25 tabs/1 mg - Balkan Pharmaceuticals,welcome?action=show&listing=96592,Steroids,steroids,userinfo?user=steroids,43.76,European Union,Worldwide,Thu Sep 17 14:55:45 2020
1G 5-MAPB - 99% PURE - US Vendor - Fastest Shipping with Instant Tracking,welcome?action=show&listing=114166,Ecstasy - Other,darcside,userinfo?user=darcside,165.52,United States,United States,Thu Sep 17 14:55:45 2020
